Species Name,State,Year,Poaching Incidents,Reason for Poaching,Conservation Status,Crime Report Date,Crime Type,Arrests Made,Case Status,Seized Items,Crimes Reported Per Year
Indian Rhino,Odisha,2023.0,5.0,Ivory Trade,Critically Endangered,22-11-2023,Illegal Trade,5.0,Open,Horn,101.0
Pangolin,Rajasthan,2020.0,7.0,Ivory Trade,Vulnerable,18-06-2020,Illegal Trade,5.0,Closed,Scales,67.0
Bengal Tiger,Karnataka,2021.0,13.0,Trophy Hunting,Endangered,01-12-2021,Poaching,0.0,Open,Claws,142.0
Pangolin,Karnataka,2020.0,11.0,Traditional Medicine,Critically Endangered,25-05-2021,Illegal Trade,0.0,Open,Scales,133.0
,Madhya Pradesh,2021.0,5.0,Traditional Medicine,Endangered,,Poaching,6.0,Open,Skin,139.0
Indian Leopard,Madhya Pradesh,2023.0,6.0,Skin Trade,Vulnerable,06-08-2021,Illegal Trade,7.0,Under Investigation,Claws,145.0
Indian Leopard,Odisha,2021.0,3.0,Ivory Trade,Endangered,10-09-2022,Poaching,6.0,Closed,Skin,142.0
Indian Leopard,Odisha,2021.0,17.0,Ivory Trade,Critically Endangered,03-04-2021,Wildlife Trafficking,0.0,Closed,Skin,55.0
Indian Leopard,Assam,2021.0,2.0,Skin Trade,Vulnerable,12-06-2021,Wildlife Trafficking,5.0,Under Investigation,Skin,55.0
Indian Elephant,,2021.0,6.0,Ivory Trade,Vulnerable,06-12-2020,Poaching,10.0,Under Investigation,Skin,93.0
Indian Rhino,Assam,2020.0,3.0,Skin Trade,Critically Endangered,26-02-2020,Wildlife Trafficking,9.0,Open,Horn,78.0
Indian Leopard,Rajasthan,2021.0,17.0,Skin Trade,Critically Endangered,05-08-2020,Illegal Trade,2.0,Open,Claws,134.0
Bengal Tiger,Madhya Pradesh,2020.0,14.0,Skin Trade,Critically Endangered,10-09-2021,Poaching,2.0,Open,Skin,113.0
Bengal Tiger,Rajasthan,2021.0,13.0,Skin Trade,Endangered,,Poaching,1.0,Closed,Skin,65.0
,Odisha,2022.0,16.0,Traditional Medicine,Endangered,31-12-2021,Illegal Trade,2.0,Open,Skin,97.0
Bengal Tiger,Rajasthan,2023.0,3.0,Skin Trade,Endangered,08-04-2021,Illegal Trade,5.0,Under Investigation,Teeth,87.0
Indian Elephant,Rajasthan,2021.0,9.0,Skin Trade,Critically Endangered,03-09-2020,Poaching,5.0,Under Investigation,Skin,53.0
Bengal Tiger,Rajasthan,2022.0,4.0,Skin Trade,Critically Endangered,30-12-2021,Illegal Trade,9.0,Open,Skin,150.0
Indian Leopard,,2021.0,17.0,Bushmeat,Endangered,07-01-2021,Poaching,2.0,Open,Claws,87.0
Pangolin,Rajasthan,2021.0,2.0,Ivory Trade,,20-02-2021,Illegal Trade,8.0,Open,Scales,81.0
Bengal Tiger,Assam,2021.0,5.0,Bushmeat,,20-11-2022,Poaching,8.0,Under Investigation,Teeth,63.0
Indian Elephant,Odisha,2022.0,17.0,Ivory Trade,Vulnerable,02-01-2021,Illegal Trade,2.0,Open,Ivory,121.0
Indian Elephant,,2023.0,11.0,Traditional Medicine,Critically Endangered,12-07-2021,Illegal Trade,2.0,Open,Ivory,70.0
Bengal Tiger,Odisha,2022.0,2.0,Traditional Medicine,Critically Endangered,17-04-2020,Wildlife Trafficking,,,Teeth,140.0
Pangolin,Karnataka,2023.0,1.0,Skin Trade,Endangered,06-08-2021,Wildlife Trafficking,8.0,Under Investigation,Scales,87.0
Bengal Tiger,Assam,2021.0,15.0,Trophy Hunting,Endangered,,Wildlife Trafficking,0.0,Open,Teeth,149.0
Indian Elephant,Rajasthan,2020.0,2.0,Skin Trade,Critically Endangered,21-02-2021,Illegal Trade,8.0,Open,Skin,115.0
Indian Rhino,Karnataka,2021.0,1.0,Traditional Medicine,Endangered,31-03-2022,Poaching,7.0,Open,Horn,62.0
Indian Leopard,Karnataka,2023.0,3.0,Bushmeat,Critically Endangered,22-11-2023,Illegal Trade,8.0,Open,Skin,120.0
,Odisha,2022.0,3.0,Trophy Hunting,,19-07-2023,Wildlife Trafficking,8.0,Closed,Ivory,58.0
Bengal Tiger,Karnataka,2021.0,14.0,Trophy Hunting,Vulnerable,13-11-2021,Illegal Trade,2.0,Under Investigation,Teeth,90.0
Indian Leopard,Assam,,16.0,Skin Trade,Endangered,13-02-2023,Wildlife Trafficking,0.0,Under Investigation,Skin,89.0
Bengal Tiger,Assam,2022.0,11.0,Ivory Trade,Critically Endangered,12-09-2020,Wildlife Trafficking,1.0,Open,Teeth,100.0
Bengal Tiger,Madhya Pradesh,2022.0,4.0,Skin Trade,Endangered,09-01-2023,Poaching,6.0,Open,Claws,125.0
Indian Rhino,Assam,2021.0,18.0,Skin Trade,Vulnerable,18-02-2022,Poaching,0.0,Under Investigation,Horn,110.0
Indian Leopard,Karnataka,2022.0,5.0,Ivory Trade,Vulnerable,25-02-2023,Wildlife Trafficking,,Closed,Skin,120.0
Indian Leopard,Assam,2022.0,6.0,Skin Trade,,17-04-2022,Wildlife Trafficking,7.0,Closed,Claws,114.0
Indian Rhino,,2021.0,4.0,Skin Trade,Endangered,03-07-2022,Illegal Trade,,Under Investigation,Horn,122.0
Indian Elephant,Madhya Pradesh,2022.0,2.0,Skin Trade,Critically Endangered,,Smuggling,10.0,Closed,Ivory,142.0
Bengal Tiger,Karnataka,2021.0,4.0,Traditional Medicine,Vulnerable,06-07-2021,Illegal Trade,5.0,Closed,Skin,142.0
Pangolin,Madhya Pradesh,2023.0,4.0,Ivory Trade,Vulnerable,29-06-2020,Wildlife Trafficking,9.0,Under Investigation,Scales,109.0
Bengal Tiger,Karnataka,2023.0,10.0,Skin Trade,Vulnerable,05-06-2020,Poaching,1.0,Open,Skin,119.0
Bengal Tiger,Odisha,2023.0,8.0,Skin Trade,Endangered,24-07-2021,Poaching,9.0,Closed,Teeth,71.0
Indian Elephant,Madhya Pradesh,,5.0,Ivory Trade,Critically Endangered,06-05-2022,Wildlife Trafficking,10.0,Under Investigation,Skin,123.0
Bengal Tiger,Rajasthan,2020.0,16.0,Ivory Trade,,13-11-2022,Black Market Sale,0.0,Under Investigation,Skin,139.0
Indian Rhino,Karnataka,2020.0,4.0,Traditional Medicine,,24-11-2023,Illegal Trade,7.0,Closed,Horn,91.0
,,,13.0,Ivory Trade,,,Illegal Trade,0.0,Open,Skin,92.0
Indian Leopard,Madhya Pradesh,2020.0,4.0,Skin Trade,Critically Endangered,14-08-2021,Wildlife Trafficking,7.0,Under Investigation,Skin,128.0
,Rajasthan,2021.0,2.0,Bushmeat,Endangered,13-05-2020,Wildlife Trafficking,8.0,Open,Horn,55.0
Bengal Tiger,Rajasthan,2020.0,4.0,Ivory Trade,Vulnerable,24-02-2021,Poaching,9.0,Under Investigation,Teeth,69.0
Bengal Tiger,Madhya Pradesh,2022.0,6.0,Ivory Trade,Vulnerable,31-07-2020,Poaching,9.0,Under Investigation,Claws,120.0
Indian Elephant,Odisha,,2.0,Skin Trade,Vulnerable,18-06-2022,Wildlife Trafficking,5.0,Under Investigation,Ivory,116.0
Indian Rhino,Rajasthan,2021.0,4.0,Skin Trade,Critically Endangered,26-04-2021,Poaching,5.0,Under Investigation,Horn,65.0
Pangolin,Rajasthan,2023.0,17.0,Ivory Trade,Endangered,13-12-2020,Illegal Trade,2.0,Open,Scales,119.0
Indian Leopard,Odisha,2022.0,3.0,Traditional Medicine,Critically Endangered,14-06-2020,Illegal Trade,7.0,Open,Claws,76.0
Indian Rhino,Rajasthan,2021.0,2.0,Ivory Trade,Endangered,25-07-2022,Wildlife Trafficking,5.0,Open,Horn,116.0
Indian Leopard,Rajasthan,2020.0,4.0,Traditional Medicine,Vulnerable,13-12-2020,Illegal Trade,,Open,Skin,143.0
Indian Elephant,Rajasthan,,5.0,Skin Trade,Endangered,28-04-2022,Wildlife Trafficking,5.0,Closed,Ivory,142.0
Indian Elephant,Assam,2021.0,9.0,Traditional Medicine,Endangered,01-02-2021,Smuggling,,Closed,Ivory,64.0
Bengal Tiger,Odisha,2021.0,14.0,Ivory Trade,Endangered,05-08-2021,Wildlife Trafficking,,Open,Teeth,148.0
Pangolin,Rajasthan,2022.0,3.0,Skin Trade,Critically Endangered,26-12-2021,Illegal Trade,9.0,Closed,Scales,62.0
Indian Leopard,Odisha,2020.0,12.0,Traditional Medicine,,29-12-2023,Illegal Trade,2.0,Under Investigation,Claws,63.0
Indian Rhino,Karnataka,,4.0,Bushmeat,Endangered,29-05-2023,Poaching,,Closed,Horn,50.0
,Karnataka,2020.0,1.0,Traditional Medicine,Endangered,03-11-2020,Poaching,5.0,Under Investigation,Skin,131.0
Bengal Tiger,,2021.0,1.0,Skin Trade,Critically Endangered,17-09-2022,Poaching,,Closed,Claws,121.0
Bengal Tiger,Odisha,2020.0,1.0,Traditional Medicine,Critically Endangered,08-03-2022,Poaching,9.0,Open,Teeth,88.0
Indian Leopard,Odisha,2023.0,3.0,Traditional Medicine,Critically Endangered,19-12-2021,Poaching,9.0,Closed,Claws,109.0
Indian Elephant,Odisha,2022.0,9.0,Trophy Hunting,Endangered,10-04-2021,Poaching,6.0,Closed,Ivory,57.0
Pangolin,Assam,2020.0,16.0,Skin Trade,Vulnerable,08-04-2020,Wildlife Trafficking,1.0,Open,Scales,53.0
